,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
age,41188.0,40.0241,10.4212,17.0,32.0,38.0,47.0,98.0,0.7847,0.7913
duration,41188.0,258.285,259.2792,0.0,102.0,180.0,319.0,4918.0,3.2631,20.2479
campaign,41188.0,2.5676,2.77,1.0,1.0,2.0,3.0,56.0,4.7625,36.9798
pdays,41188.0,962.4755,186.9109,0.0,999.0,999.0,999.0,999.0,-4.9222,22.2295
previous,41188.0,0.173,0.4949,0.0,0.0,0.0,0.0,7.0,3.832,20.1088
emp.var.rate,41188.0,0.0819,1.571,-3.4,-1.8,1.1,1.4,1.4,-0.7241,-1.0626
cons.price.idx,41188.0,93.5757,0.5788,92.201,93.075,93.749,93.994,94.767,-0.2309,-0.8298
cons.conf.idx,41188.0,-40.5026,4.6282,-50.8,-42.7,-41.8,-36.4,-26.9,0.3032,-0.3586
euribor3m,41188.0,3.6213,1.7344,0.634,1.344,4.857,4.961,5.045,-0.7092,-1.4068
nr.employed,41188.0,5167.0359,72.2515,4963.6,5099.1,5191.0,5228.1,5228.1,-1.0443,-0.0038
