contact_count,total_clients,subscribed,conv_rate_pct,pct_clients_reached_by_this_count,contact_zone
1,17634,2299,13.04,42.8,FIRST CONTACT
2,10567,1211,11.46,68.5,OPTIMAL ZONE
3,5339,574,10.75,81.5,OPTIMAL ZONE
4,2649,249,9.4,87.9,DIMINISHING RETURNS
5,1599,120,7.5,91.8,DIMINISHING RETURNS
6,979,75,7.66,94.2,DIMINISHING RETURNS
7,629,38,6.04,95.7,OVER-CONTACTED
8,400,17,4.25,96.7,OVER-CONTACTED
9,283,17,6.01,97.3,OVER-CONTACTED
10,224,12,5.36,97.9,OVER-CONTACTED
11,177,12,6.78,98.3,OVER-CONTACTED
12,125,3,2.4,98.6,OVER-CONTACTED
13,92,4,4.35,98.8,OVER-CONTACTED
14,475,8,1.68,100.0,OVER-CONTACTED
