age_band,job_tier,previously_contacted,clients,subscribed,conv_rate_pct,avg_age,avg_contacts,segment_rank,pct_of_dataset
56-65,MID_VALUE,1,65,55,84.62,59.1,1.83,1,0.16
66+,HIGH_VALUE,1,103,77,74.76,76.1,1.67,2,0.25
36-45,MID_VALUE,1,196,137,69.9,39.7,1.8,3,0.48
56-65,HIGH_VALUE,1,64,44,68.75,60.7,1.66,4,0.16
26-35,HIGH_VALUE,1,51,35,68.63,28.8,1.86,5,0.12
18-25,HIGH_VALUE,1,87,59,67.82,21.6,1.9,6,0.21
26-35,MID_VALUE,1,369,226,61.25,30.8,1.78,7,0.9
46-55,MID_VALUE,1,139,85,61.15,50.4,1.93,8,0.34
36-45,LOWER_VALUE,1,110,62,56.36,39.5,1.84,9,0.27
18-25,MID_VALUE,1,32,18,56.25,24.0,1.97,10,0.08
46-55,LOWER_VALUE,1,79,44,55.7,50.1,2.1,11,0.19
56-65,LOWER_VALUE,1,49,26,53.06,59.3,1.82,12,0.12
26-35,LOWER_VALUE,1,115,61,53.04,30.8,1.74,13,0.28
66+,HIGH_VALUE,0,429,172,40.09,74.7,2.03,14,1.04
66+,LOWER_VALUE,0,42,15,35.71,73.3,2.48,15,0.1
18-25,HIGH_VALUE,0,368,107,29.08,22.3,1.98,16,0.9
26-35,HIGH_VALUE,0,341,69,20.23,29.1,2.29,17,0.83
18-25,MID_VALUE,0,492,75,15.24,24.1,2.85,18,1.2
56-65,HIGH_VALUE,0,762,111,14.57,58.8,2.61,19,1.85
56-65,MID_VALUE,0,1004,124,12.35,57.8,2.59,20,2.44
