feature,pearson_r,abs_r
pdays,-0.3249,0.3249
previously_contacted,0.3249,0.3249
repeat_success,0.3163,0.3163
poutcome_success,0.3163,0.3163
euribor3m,-0.3078,0.3078
low_rate_env,0.2913,0.2913
pdays_actual,0.279,0.279
previous,0.2302,0.2302
previous_capped,0.2264,0.2264
log_previous,0.2175,0.2175
poutcome_nonexistent,-0.1935,0.1935
contact_telephone,-0.1448,0.1448
cellular_first,0.1059,0.1059
default_unknown,-0.0993,0.0993
job_student,0.094,0.094
job_retired,0.0924,0.0924
high_value_segment,0.0774,0.0774
job_blue-collar,-0.0744,0.0744
log_campaign,-0.0706,0.0706
campaign,-0.0702,0.0702
cons_conf_idx,0.0548,0.0548
marital_single,0.0542,0.0542
marital_married,-0.0435,0.0435
month_num,0.0372,0.0372
job_services,-0.0323,0.0323
education_encoded,0.0318,0.0318
age,0.0304,0.0304
job_entrepreneur,-0.0167,0.0167
job_unemployed,0.0147,0.0147
housing_yes,0.0118,0.0118
dow_num,0.01,0.01
job_housemaid,-0.0065,0.0065
job_technician,-0.0061,0.0061
marital_unknown,0.0052,0.0052
job_self-employed,-0.0047,0.0047
loan_yes,-0.0045,0.0045
default_yes,-0.003,0.003
loan_unknown,-0.0023,0.0023
housing_unknown,-0.0023,0.0023
job_management,-0.0004,0.0004
job_unknown,-0.0002,0.0002
